Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,NIRGUA,146.730000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cerro Nirgua,,,,
2,BQTO,146.880000,-,0.605000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Monte Bello Barquisimeto YV3AJ,,,,
3,SFELIPE,147.300000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,San Felipe,,,,
4,BOCONO,146.940000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cerro Guaramacal Bocono Trujillo YV1DTU Agustín Rosario,,,,
5,TUCACAS,147.000000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cerro El Silencio Tucacas,,,,
6,C TOVAR,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Colonia Tovar Geremba,,,,
7,GUATIRE,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Guatire,,,,
8,C AVILA,147.150000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cerro Ávila Norte La Guaira,,,,
9,EL CAFE,147.180000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,YV4KW/ Valencia, Cerro El Café,,,,
10,CHORONI,147.210000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mirador vía Choroní RCV,,,,
11,ESTANDA,147.240000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,La estadandar,,,,
12,ORIPOTO,147.270000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Oripoto Sur Este de Caracas,,,,
13,JUNQU V,147.360000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,YV5RCV / El Junquito,,,,
14,SILENCI,146.910000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cerro El Silencio,,,,
15,VALENCI,146.610000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Valencia,,,,
16,ELLIMON,146.730000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,San Antonio de los Altos El Limón YV5SAA/r al Sur Cerro Volcá,,,,
17,JUNQU U,438.125000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,El Junquito RCV,,,,
18,MARACAY,439.840000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Aragua Maracay Centro,,,,
19,C COPEY,439.950000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cerro Copey Valencia,,,,
